,행정동명,일자,강수량,침수여부,펌프장최소거리,우수저류장최소거리,경사도(합계),경사도(평균),경사도(최소값),경사도(최대값),경사도(최대-최소),고도(평균값),고도(최소값),고도(최대값),고도(최대-최소)
55,내서읍,2019-10-03,0.0,0,4383.829542550205,1844.4174412687496,111022.2747,16.02746856,0.0315935574,40.25296402,40.22137046,237.1042321,41.69382095,732.3024902,690.6086693
56,대산면,2012-09-17,31.0,0,3513.579013823353,,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
57,대산면,2012-09-18,0.0,0,3513.579013823353,,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
58,대산면,2012-09-19,0.0,0,3513.579013823353,,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
59,대산면,2014-08-25,56.0,0,3513.579013823353,,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
60,대산면,2016-10-05,55.4,0,3513.579013823353,6943.110642328901,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
61,대산면,2019-10-02,33.0,0,3513.579013823353,2552.48648791225,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
62,대산면,2019-10-03,0.0,0,3513.579013823353,2552.48648791225,2793.68696,0.670753172,0.00107266603,15.4106226,15.40954993,5.701854473,0.494853318,66.25815582,65.76330251
63,덕산동,2012-09-17,20.0,0,3450.016212234761,,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
64,덕산동,2012-09-18,0.0,0,3450.016212234761,,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
65,덕산동,2012-09-19,0.0,0,3450.016212234761,,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
66,덕산동,2014-08-25,49.0,0,3450.016212234761,,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
67,덕산동,2016-10-05,77.4,0,3450.016212234761,6722.352964732549,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
68,덕산동,2019-10-02,23.5,0,3450.016212234761,851.0548503277581,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
69,덕산동,2019-10-03,0.0,0,3450.016212234761,851.0548503277581,2022.274581,5.844724221,0.025704179,25.68916512,25.66346094,63.68641117,0.0,479.7689209,479.7689209
70,동읍,2012-09-17,30.0,0,4490.820427923042,,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
71,동읍,2012-09-18,0.0,0,4490.820427923042,,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
72,동읍,2012-09-19,0.0,0,4490.820427923042,,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
73,동읍,2014-08-25,60.0,1,4490.820427923042,,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
74,동읍,2016-10-05,78.7,0,4490.820427923042,7978.628642910493,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
75,동읍,2019-10-02,33.0,0,4490.820427923042,1042.5258235701558,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
76,동읍,2019-10-03,0.0,0,4490.820427923042,1042.5258235701558,52734.34606,7.165966308,0.000884812558,38.1036911,38.10280629,60.90041077,0.495977014,542.1727295,541.6767525
77,명곡동,2012-09-17,35.0,0,5884.050606738819,,6030.339593,7.537924491,0.0344175957,24.38977814,24.35536054,55.025928,2.944926739,240.1917267,237.2467999
78,명곡동,2012-09-18,0.0,0,5884.050606738819,,6030.339593,7.537924491,0.0344175957,24.38977814,24.35536054,55.025928,2.944926739,240.1917267,237.2467999
